id,r2,partistic,partistic_support,partistic_tree_confidence,clade,clade_support,clade_tree_cofidence,regression,placement,placement_support
CAP188_ENV_C1C2_B_W9_QVOA_1,0.16280879363245404,69,0.3333333333333333,0.37209302325581395,132,0.5,0.26666666666666666,210.69730066492025,132,0.4975734124230921
CAP188_ENV_C1C2_W6_QVOA_1,0.16280879363245404,106,0.3333333333333333,0.3150684931506849,185,0.4069767441860465,0.7875,162.4905091839403,106,0.2580010078097772
CAP188_ENV_C1C2_W4_QVOA_1,0.16280879363245404,106,1,0.3150684931506849,185,0.3178294573643411,0.7875,150.6636333345505,106,0.9782874336895058
CAP188_ENV_C1C2_W12_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,237,1,0.708029197080292,148.2421557888261,237,0.9980263292414214
CAP188_ENV_C1C2_W3_P1_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,237,1,0.708029197080292,152.59008991692406,237,0.9954398496316209
CAP188_ENV_C1C2_B_W31_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,237,1,0.708029197080292,154.75993180627847,237,0.9995260566238522
CAP188_ENV_C1C2_W8_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,237,1,0.708029197080292,162.6307651235564,237,0.9984151518668725
CAP188_ENV_C1C2_W10_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,237,0.9827586206896551,0.708029197080292,225.20141489109898,237,0.9929127858874747
CAP188_ENV_C1C2_W11_QVOA_1,0.16280879363245404,185,0.4,0.60625,185,0.5333333333333333,0.7875,209.54637692512958,185,0.3318430422916617
CAP188_ENV_C1C2_W7_QVOA_1,0.16280879363245404,185,0.6666666666666666,0.60625,185,0.5333333333333333,0.7875,210.76742863472828,185,0.4167424409352578
CAP188_ENV_C1C2_W3_P2_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,,,N/A,240.8523276823738,237,0.9998990973823687
CAP188_ENV_C1C2_B_W36_QVOA_1,0.16280879363245404,237,1,0.8905109489051095,,,N/A,239.41264171396188,237,0.9999654389743351
